문제,힌트,답
컴퓨터의 중앙 처리 장치를 의미하는 약자는?,CPU라고 불립니다.,CPU
인터넷의 월드 와이드 웹을 의미하는 약자는?,'www'로 시작합니다.,WWW
컴퓨터에서 정보를 일시적으로 저장하는 메모리는?,주로 'RAM'으로 불립니다.,RAM
윈도우 운영체제를 개발한 회사는?,빌 게이츠가 창립한 회사입니다.,마이크로소프트
리눅스 커널을 개발한 사람은?,핀란드 출신의 개발자입니다.,리누스 토발즈
컴퓨터에서 사용하는 기본 이진수는 몇 진법인가요?,0과 1을 사용합니다.,2진법
HTML은 무엇을 의미하나요?,웹 페이지의 구조를 작성하는 언어입니다.,하이퍼텍스트 마크업 언어
네트워크에서 IP는 무엇의 약자인가요?,인터넷 주소와 관련된 프로토콜입니다.,인터넷 프로토콜
컴퓨터에서 메인 메모리에 직접 연결되어 데이터를 처리하는 장치는?,중앙 처리 장치라고도 합니다.,CPU
웹 브라우저에서 HTTP는 무엇의 약자인가요?,하이퍼텍스트를 전송하는 프로토콜입니다.,하이퍼텍스트 전송 프로토콜
윈도우의 기본 명령어 입력 프로그램은?,주로 명령어를 입력하는 창입니다.,명령 프롬프트
컴퓨터에서 네트워크 연결을 위한 기본 장치는?,주로 데이터 패킷을 전송하는 역할을 합니다.,라우터
프로그래밍 언어 중 객체 지향 프로그래밍(OOP)을 최초로 도입한 언어는?,시뮬라라는 이름으로 시작합니다.,Simula
C 언어의 창시자는 누구인가요?,벨 연구소에서 개발했습니다.,데니스 리치
인터넷에서 보안 연결을 의미하는 프로토콜은?,https로 시작합니다.,SSL
하드디스크 드라이브의 약자는?,'HDD'로 불립니다.,HDD
데이터베이스에서 SQL은 무엇의 약자인가요?,데이터를 질의하는 언어입니다.,구조화 질의 언어
컴퓨터의 운영체제 중 오픈 소스 기반의 유명한 운영체제는?,주로 서버에서 사용됩니다.,리눅스
구글의 웹 브라우저 이름은?,크롬입니다.,크롬
RAM의 데이터는 전원이 꺼지면 어떻게 되나요?,휘발성 메모리입니다.,사라집니다
네트워크에서 IP 주소를 사람이 기억하기 쉽게 도와주는 시스템은?,DNS라고 불립니다.,도메인 네임 시스템
Python은 무엇인가요?,뱀 이름과 같은 프로그래밍 언어입니다.,프로그래밍 언어
클라우드 컴퓨팅에서 가장 많이 사용되는 서비스 형태는?,서비스로서의 소프트웨어입니다.,SaaS
"컴퓨터 바이러스의 일종으로, 다른 프로그램에 자신을 복제해 침투하는 것은?",주로 백신으로 제거합니다.,컴퓨터 바이러스
데이터베이스 관리 시스템의 약자는?,'DBMS'로 불립니다.,DBMS
컴퓨터 네트워크에서 데이터를 암호화하여 보호하는 기술은?,VPN이라고 불립니다.,가상 사설 네트워크
운영체제에서 멀티태스킹이란 무엇을 의미하나요?,동시에 여러 작업을 수행하는 것입니다.,동시 작업
Git을 개발한 사람은?,리눅스 커널 개발자가 만들었습니다.,리누스 토발즈
웹 페이지를 스타일링하기 위한 언어는?,HTML을 꾸며줍니다.,CSS
컴퓨터의 기본적인 전자 회로 기판을 무엇이라고 하나요?,마더보드라고 불립니다.,마더보드
인터넷의 속도를 나타내는 단위 중 Mbps는 무엇을 의미하나요?,메가비트 퍼 세컨드입니다.,메가비트 퍼 세컨드
VPN은 무엇의 약자인가요?,보안 네트워크 접속을 위해 사용됩니다.,가상 사설 네트워크
가상 현실을 구현하기 위한 기술 중 하나는?,VR이라고도 합니다.,가상 현실
디지털 데이터 저장 매체 중 SSD는 무엇의 약자인가요?,고속 저장 장치입니다.,솔리드 스테이트 드라이브
컴퓨터에서 정보 처리 속도를 측정하는 단위는?,헤르츠로 측정됩니다.,헤르츠
컴퓨터의 그래픽을 처리하는 주요 장치는?,GPU라고도 불립니다.,그래픽 처리 장치
소프트웨어의 버그를 수정하는 작업을 무엇이라고 하나요?,코드를 고치는 것입니다.,디버깅
이진수를 16진수로 변환할 때 사용하는 것은?,4비트를 하나의 숫자로 나타냅니다.,16진수
데이터 통신에서 사용되는 비동기 통신 방식은 무엇인가요?,동기화가 필요하지 않습니다.,비동기 통신
주파수를 사용해 데이터를 전송하는 무선 네트워크 기술은?,Wi-Fi입니다.,와이파이
웹사이트 간 데이터를 안전하게 전송하기 위해 사용하는 프로토콜은?,HTTPS입니다.,HTTPS
"컴퓨터 바이러스의 반대말로, 컴퓨터를 보호하는 프로그램은?",주로 백신이라고 불립니다.,안티바이러스
소프트웨어 개발에서 오류를 찾고 해결하는 과정을 무엇이라 하나요?,디버깅입니다.,디버깅
"머신 러닝의 기초로, 데이터를 통해 학습하는 것은?",AI의 일종입니다.,기계 학습
인터넷에서 주로 사용되는 '클라이언트-서버' 모델이란 무엇인가요?,요청과 응답으로 이루어집니다.,클라이언트-서버 모델
하드웨어와 소프트웨어 사이에서 동작하는 시스템 소프트웨어는?,운영체제입니다.,운영체제
컴퓨터 네트워크에서 '라우팅'이란 무엇을 의미하나요?,데이터를 최적의 경로로 전달하는 과정입니다.,라우팅
컴퓨터의 가장 기본적인 데이터 단위는?,비트입니다.,비트
컴퓨터 언어에서 조건문을 나타내기 위해 사용하는 키워드는?,if입니다.,if
소프트웨어 개발 방법론 중 '애자일'이란 무엇을 의미하나요?,신속하고 유연한 개발 방식을 의미합니다.,애자일
